School,SchoolHyphen,Latitude,Longitude
HAWTHORNE,HAWTHORNE,41.94227549,-87.65770888
HAY,HAY,41.89917136,-87.75581325
HAYT,HAYT,41.99454089,-87.66850377
HEALY,HEALY,41.83959486,-87.64034075
HEARST,HEARST,41.808175,-87.74572606
HEDGES,HEDGES,41.80711213,-87.67332726
HEFFERAN,HEFFERAN,41.87866465,-87.73580189
HENDERSON,HENDERSON,41.79059129,-87.67188731
HENDRICKS,HENDRICKS,41.81578775,-87.63366448
HENRY,HENRY,41.9589888,-87.71563237
HERNANDEZ,HERNANDEZ,41.79347933,-87.71136992
HERZL,HERZL,41.8620813,-87.71899385
HIBBARD,HIBBARD,41.97033524,-87.71036161
HIGGINS,HIGGINS,41.68103137,-87.64699404
HIRSCH HIGH SCHOOL,HIRSCH-HIGH-SCHOOL,41.75374796,-87.60172727
HITCH,HITCH,41.9836717,-87.77912305
HOLDEN,HOLDEN,41.83802739,-87.65379167
HOLMES,HOLMES,41.79378765,-87.64979536
HOWE,HOWE,41.89361221,-87.75939839
HOYNE,HOYNE,41.73333775,-87.5682281
HUBBARD HIGH SCHOOL,HUBBARD-HIGH-SCHOOL,41.78052639,-87.71801374
HUGHES C,HUGHES-C,41.86051774,-87.73177739
HUGHES L,HUGHES-L,41.70534232,-87.62986866
HURLEY,HURLEY,41.76678528,-87.71954083
HYDE PARK HIGH SCHOOL,HYDE-PARK-HIGH-SCHOOL,41.78225693,-87.58661501
INFINITY HIGH SCHOOL,INFINITY-HIGH-SCHOOL,41.83616882,-87.73527796
INTER-AMERICAN,INTER-AMERICAN,41.9490033,-87.65157334
IRVING,IRVING,41.87159549,-87.68361565
JACKSON A,JACKSON-A,41.87429964,-87.66098467
JACKSON M,JACKSON-M,41.73412547,-87.64676673
JAHN,JAHN,41.9392475,-87.67580972
JAMIESON,JAMIESON,41.98464078,-87.70052942
JEFFERSON HIGH SCHOOL,JEFFERSON-HIGH-SCHOOL,41.86783229,-87.68041755
JENSEN,JENSEN,41.87381495,-87.70224105
JOHNSON,JOHNSON,41.86183619,-87.70313876
JONES HIGH SCHOOL,JONES-HIGH-SCHOOL,41.87306592,-87.62767532
JOPLIN,JOPLIN,41.74933916,-87.66936565
JORDAN,JORDAN,42.01708759,-87.67776252
JUAREZ HIGH SCHOOL,JUAREZ-HIGH-SCHOOL,41.85267014,-87.66433931
JULIAN HIGH SCHOOL,JULIAN-HIGH-SCHOOL,41.70585894,-87.65374921
JUNGMAN,JUNGMAN,41.85806478,-87.65230159
KANOON,KANOON,41.85077148,-87.70511208
KELLER,KELLER,41.69717033,-87.69727834
KELLMAN,KELLMAN,41.87016772,-87.7021629
KELLOGG,KELLOGG,41.72526344,-87.67723251
KELLY HIGH SCHOOL,KELLY-HIGH-SCHOOL,41.81872906,-87.69463866
KELVYN PARK HIGH SCHOOL,KELVYN-PARK-HIGH-SCHOOL,41.9279184,-87.73599882
KENNEDY HIGH SCHOOL,KENNEDY-HIGH-SCHOOL,41.78996125,-87.78083976
KENWOOD HIGH SCHOOL,KENWOOD-HIGH-SCHOOL,41.80377212,-87.59042089
KERSHAW,KERSHAW,41.77645281,-87.64089203
KILMER,KILMER,42.00364046,-87.66822247
KING ELEMENTARY SCHOOL,KING-ELEMENTARY-SCHOOL,41.76533498,-87.64133454
KING HIGH SCHOOL,KING-HIGH-SCHOOL,41.81367545,-87.60387386
KINZIE,KINZIE,41.78996463,-87.7794826
KIPLING,KIPLING,41.72362691,-87.63952072
KOZMINSKI,KOZMINSKI,41.79800188,-87.60248145
