School,Latitude,Longitude,mer_coords_x,mer_coords_y,Q3 SY20,Q4 SY20,Summer SY20,Q1 SY21,Q2 SY21,20210115
DALEY,41.80234287,-87.6722064,-9759625.373411926,5131417.194773051,0,0,0,1,0,0
DARWIN,41.92332272,-87.70541291,-9763321.905383384,5149500.470072415,0,0,0,0,1,1
DAVIS M,41.77122111,-87.66652988,-9758993.466217507,5126770.842900158,0,0,0,0,0,0
DAVIS N,41.82185161,-87.70020216,-9762741.846947484,5134330.922140557,0,0,0,0,1,1
DAWES,41.74507775,-87.71735342,-9764651.1168524,5122869.48731503,0,0,0,0,1,1
DE DIEGO,41.90529385,-87.6857562,-9761133.730435578,5146803.462602899,0,0,0,1,2,2
DECATUR,42.00928856,-87.70461859,-9763233.482016012,5162370.926406649,0,0,0,0,0,0
DENEEN,41.76249026,-87.62334459,-9754186.101280537,5125467.76773695,0,0,0,0,1,1
DEPRIEST,41.87797883,-87.76629755,-9770099.552584155,5142718.75361913,0,0,0,0,0,0
DETT,41.87986982,-87.68031497,-9760528.014672404,5143001.477026379,0,0,0,0,0,0
DEVER,41.94255167,-87.81313153,-9775313.086357279,5152377.843494521,0,0,0,1,1,1
DEVRY HIGH SCHOOL,41.94138764,-87.69076139,-9761690.905420473,5152203.636259828,0,0,0,0,0,0
DEWEY,41.79564568,-87.64265158,-9756335.345483,5130417.14182985,0,0,0,0,1,1
DIRKSEN,41.97371478,-87.84104144,-9778420.00414662,5157042.857943165,0,0,0,1,0,0
DISNEY,41.95681613,-87.64608274,-9756717.301092133,5154512.903138342,0,0,0,0,2,2
DISNEY II ELEMENTARY SCHOOL,41.95046051,-87.73067838,-9766134.443780843,5153561.554181244,0,0,0,0,1,1
DISNEY II HIGH SCHOOL,41.95248767,-87.72136351,-9765097.517773332,5153864.9822333725,0,0,0,1,0,0
DIXON,41.74366924,-87.60997887,-9752698.236723838,5122659.341447941,0,0,0,0,1,1
DOOLITTLE,41.83112063,-87.61227454,-9752953.789366188,5135715.606209751,0,0,1,1,0,0
DORE,41.78095446,-87.78760442,-9772471.422141597,5128223.750497371,0,0,0,3,1,1
DOUGLASS HIGH SCHOOL,41.89036863,-87.76766846,-9770252.160585823,5144571.316737202,0,0,0,0,0,0
DRAKE,41.84404331,-87.62855345,-9754765.94862529,5137646.441073099,0,0,0,0,0,0
DRUMMOND,41.9159138,-87.6744946,-9759880.094311042,5148392.049494706,0,0,0,1,0,0
DUBOIS,41.65373298,-87.61432001,-9753181.489736479,5109250.625648746,0,0,0,0,0,0
DULLES,41.77990049,-87.61721418,-9753503.667138238,5128066.412679539,1,0,0,0,1,1
DUNBAR HIGH SCHOOL,41.84022557,-87.61763743,-9753550.783729691,5137075.975153099,0,0,0,0,1,1
DUNNE,41.69649616,-87.6399736,-9756037.234758602,5115623.906682339,0,0,0,0,0,0
DURKIN PARK,41.73884394,-87.72995529,-9766053.950467417,5121939.454612961,0,0,0,1,0,0
DVORAK,41.85888345,-87.71574357,-9764471.908965563,5139864.251720907,0,0,0,0,1,1
DYETT ARTS HIGH SCHOOL,41.80120417,-87.61223911,-9752949.84445466,5131247.15148808,0,0,0,0,0,0
EARHART,41.72610746,-87.58218174,-9749603.873621704,5120039.557512325,0,0,0,0,0,0
EARLE,41.78122517,-87.67554666,-9759997.209226985,5128264.1626808,0,0,0,0,1,1
EBERHART,41.77442045,-87.70795263,-9763604.625679746,5127248.387435789,0,0,0,0,1,1
EBINGER,42.00440792,-87.81116978,-9775094.706411894,5161639.752129789,0,0,1,0,0,0
EDGEBROOK,41.99943683,-87.76184047,-9769603.392694622,5160895.084703769,0,0,1,0,1,1
EDISON,41.9715061,-87.70930367,-9763755.021906495,5156712.150655345,0,0,0,0,0,0
EDISON PARK,41.99423795,-87.81377123,-9775384.29840986,5160116.355922674,0,0,0,1,1,1
EDWARDS,41.80554154,-87.72585618,-9765597.639128007,5131894.871317738,0,0,0,4,0,0
ELLINGTON,41.88552958,-87.76658938,-9770132.038189609,5143847.723406173,0,0,0,0,1,1
ENGLEWOOD STEM HIGH SCHOOL,41.77028021,-87.63602379,-9755597.543028772,5126630.405273234,0,0,0,2,0,0
ERICSON,41.87574412,-87.71580443,-9764478.683837306,5142384.650627333,0,0,0,0,0,0
ESMOND,41.68941961,-87.66915867,-9759286.10141812,5114568.947891262,0,0,0,0,0,0
EVERETT,41.83155516,-87.6813103,-9760638.81509762,5135780.525254624,0,0,0,1,2,2
EVERGREEN,41.82935562,-87.66781651,-9759136.693046665,5135451.918636851,0,0,0,0,1,1
EVERS,41.71566536,-87.63930547,-9755962.858280312,5118482.19449611,0,0,0,0,0,0
FAIRFIELD,41.7809039,-87.69211506,-9761841.59548507,5128216.201943515,0,0,0,0,1,1
FALCONER,41.93578457,-87.74933063,-9768210.802641708,5151365.132805398,0,1,0,0,2,2
FARADAY,41.87971359,-87.70809202,-9763620.142165769,5142978.118688764,0,1,0,0,0,0
FARNSWORTH,41.97979006,-87.76607166,-9770074.40591576,5157952.572863357,0,0,0,1,1,1
FARRAGUT HIGH SCHOOL,41.84855987,-87.70870563,-9763688.449119456,5138321.372340188,0,0,0,1,1,1
FENGER HIGH SCHOOL,41.68995073,-87.63757205,-9755769.895054009,5114648.122002034,0,0,0,0,2,2
FERNWOOD,41.71118362,-87.64041365,-9756086.219937904,5117813.853810342,0,0,0,0,2,2
FIELD,42.00966386,-87.6699854,-9759378.132657109,5162427.152553526,0,0,0,0,0,0
FINKL,41.84921491,-87.68566784,-9761123.89411365,5138419.260735729,0,0,0,0,1,1
FISKE,41.78518282,-87.6086329,-9752548.403130233,5128854.989772183,0,0,0,0,3,3
FOREMAN HIGH SCHOOL,41.93979677,-87.75416654,-9768749.134655688,5151965.553426452,0,0,0,1,1,1
FORT DEARBORN,41.72967267,-87.65548116,-9757763.528071726,5120571.342061283,0,0,0,0,1,1
FOSTER PARK,41.73842548,-87.66809931,-9759168.174264196,5121877.026599642,0,0,0,0,0,0
FRANKLIN,41.90659999,-87.63551281,-9755540.661451757,5146998.826992951,0,0,0,1,3,3
FRAZIER PROSPECTIVE,41.86697963,-87.72724438,-9765752.172902524,5141074.417060837,0,0,0,0,0,0
FULLER,41.8180034,-87.61178404,-9752899.187118467,5133756.10262597,0,0,0,0,0,0
FULTON,41.79758027,-87.66843588,-9759205.641005022,5130706.012104306,0,0,0,0,1,1
FUNSTON,41.91761651,-87.71689166,-9764599.714094846,5148646.774669612,0,0,0,1,1,1
GAGE PARK HIGH SCHOOL,41.79101284,-87.68895394,-9761489.70101215,5129725.406280227,0,1,0,0,2,2
